35,35,35,35,37,39,41,39,37
35,35,35,35,39,45,49,45,39
35,35,35,37,41,49,55,49,41
35,35,35,35,39,45,49,45,39
35,35,35,35,37,39,41,39,37
35,37,37,37,35,37,37,35,35
37,41,45,41,37,35,35,35,35
41,53,59,53,41,37,35,35,35
45,59,67,59,45,37,35,35,35
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,5,11,15,11
1,1,1,1,3,7,15,21,15
1,1,1,1,1,5,11,15,11
1,1,1,1,1,3,5,7,5
1,1,3,3,3,1,3,3,1
1,3,7,11,7,3,1,1,1
3,7,19,25,19,7,3,1,1
3,11,25,33,25,11,3,1,1
3,7,19,25,19,7,3,1,1
