68,68,68,68,70,72,74,72,70
68,68,68,69,72,78,82,78,72
68,68,68,69,74,82,87,82,74
68,68,68,69,72,78,82,78,72
68,68,68,69,70,72,74,72,70
69,69,70,70,69,69,69,69,68
71,75,77,75,71,69,68,68,68
75,85,92,85,75,69,68,68,68
77,92,100,92,77,70,68,68,68
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
34,34,35,41,51,58,51,41,35
34,34,36,43,58,66,58,43,36
34,34,35,41,51,58,51,41,35
34,34,35,37,41,43,41,37,35
35,35,35,35,36,36,35,35,34
38,40,38,36,35,34,34,34,34
44,48,44,38,35,34,34,34,34
48,53,48,40,35,34,34,34,34
44,48,44,38,35,34,34,34,34
